Topic,Count,Name
0,5166,model | method | image
-1,4710,model | task | method
1,609,graph | node | gnn
2,316,brain | neural | activity
3,232,causal | effect | variable
4,205,privacy | private | differential privacy
5,195,transformer | attention | layer
6,192,adversarial | attack | robustness
7,174,convex | optimization | gradient
8,148,attack | backdoor | safety
9,113,protein | sequence | cell
10,111,molecular | molecule | drug
11,100,matrix | algorithm | rank
12,93,medical | clinical | segmentation
13,72,fairness | fair | group
14,72,modality | multimodal | contrastive
15,70,spike | neural | neural network
16,68,recommendation | user | item
17,66,audio | audio visual | sound
18,58,speech | speaker | audio
19,58,anomaly | anomaly detection | detection
20,56,watermark | watermarking | image
21,50,continual | continual learning | task
22,47,transport | optimal transport | optimal
23,47,quantum | circuit | classical
24,44,ood | detection | distribution
25,35,distillation | teacher | student
26,34,conformal | conformal prediction | prediction
27,30,cache | compression | attention
