paper_id,topic_id,topic_prob
zNA7u7wtIN,18,0.3661792959396791
UAFa5ZhR85,1,1.0
FNn4zibGvw,-1,0.0
xgY4QcOiEZ,0,0.8842411535258679
mgNu8nDFwa,0,1.0
Y2VQWfi7Vc,-1,0.0
A6JDQDv7Nt,-1,0.0
NpyZkaEEun,0,0.4239892809542975
ackajXqei2,0,1.0
qVMPXrX4FR,-1,0.0
ePkLqJh5kw,1,1.0
dCYBAGQXLo,-1,0.0
JYUN0vYjh9,4,0.3107936675719211
wm5Ane9VRO,6,1.0
Nd3FennRJZ,0,0.9531012146401284
9FmolyOHi5,15,0.8440082509006938
2NUFe4TZMS,4,0.8144780172186848
dzqKAM2sKa,0,0.4431401197621054
1qFnxhdbxg,0,1.0
OzpTd2EsH1,6,1.0
Z8q7GmS89a,0,1.0
V5FNSilWiC,0,0.4560309587791058
pLsPFxqn7J,-1,0.0
uN71BdBEG8,1,1.0
m0vfXMrLwF,-1,0.0
gdVcFOvxT3,-1,0.0
L0QwnevT0F,-1,0.0
eJZ5vJEaaa,-1,0.0
L7Whl9pXd0,0,1.0
vHSQTEIFkp,7,1.0
cCYvakU5Ek,5,0.3120572165116403
tn9Dldam9L,-1,0.0
aky0dKv9ip,-1,0.0
kR21XsZeAr,0,1.0
1bTG4sJ7tN,0,1.0
LTbIUkN95h,0,1.0
TQlpqmCeMe,0,0.6040529532441686
gGl0n7Onug,-1,0.0
HlIAoCHDWW,0,0.7365650712455457
bx0SDRVDzF,-1,0.0
59D5vAGhHQ,7,0.9507588017403752
wcdF6jR0Sp,-1,0.0
Lmxo0RVNx2,2,0.7526478723203675
hwjmEZ8561,-1,0.0
XEUc1JegGt,-1,0.0
pWZ97hUQtQ,0,0.671715868284722
KFm2lZiI7n,-1,0.0
WxnrX42rnS,-1,0.0
DoE3esTIEM,0,0.4516979071032642
Ia4dmqst0Z,-1,0.0
OGQWZ3p0Zn,0,1.0
MvCq52yt9Y,16,0.9714750963535844
9Tx2znbyTm,-1,0.0
htM8yp2EwX,3,0.1842827093195843
exiXmAfuDK,0,0.9603857180480696
gUEekxYr6D,0,0.5814879333358198
Oj7Mrb4009,6,1.0
Nn0daSf6CW,-1,0.0
3NWWgB2SuF,-1,0.0
JDoA6admhv,6,1.0
